agent_id,team_name,skill_name,total_calls,avg_score,best_score,worst_score,resolved,escalated,unresolved,avg_dur_min,avg_hold_sec,sla_met,csat_pct
24541241,Leveraged,Careforth.SKL.PHN.US.EN,1,62.9,62.9,62.9,0.0,1.0,0.0,47.9,0.0,0.0,100.0
28585315,Shared Services,Hanover.SKL.PHN.US.EN,1,62.4,62.4,62.4,0.0,1.0,0.0,45.9,0.0,0.0,100.0
28787459,Tech Support,UI.SKL.PHN.EN,3,60.2,86.8,15.4,1.0,1.0,1.0,39.4,155.0,3.0,100.0
75128436,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,60.1,60.1,60.1,0.0,1.0,0.0,70.7,0.0,0.0,100.0
26514875,Leveraged,Heritage.SKL.PHN.US.EN,1,59.6,59.6,59.6,0.0,0.0,1.0,12.7,0.0,0.0,100.0
25645142,Shared Services,Hanover.SKL.PHN.US.EN,1,55.5,55.5,55.5,1.0,0.0,0.0,75.7,0.0,0.0,100.0
21121124,Shared Services,Tandigm.SKL.PHN.EN,1,55.3,55.3,55.3,0.0,1.0,0.0,62.9,0.0,0.0,100.0
61534982,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,54.7,54.7,54.7,0.0,0.0,1.0,68.5,0.0,0.0,100.0
24141565,Shared Services,AEIConsultants.SKL.PHN.US.EN,1,54.7,54.7,54.7,1.0,0.0,0.0,50.4,0.0,1.0,100.0
26363514,Leveraged,Fuji.HD.SKL.PHN.US.EN,1,54.2,54.2,54.2,0.0,1.0,0.0,60.0,38.0,0.0,100.0
28787457,Shared Services,UI.SKL.PHN.EN,5,53.9,86.8,4.6,3.0,1.0,1.0,27.4,37.0,5.0,100.0
24145412,Leveraged,Careforth.SKL.PHN.US.EN,1,52.4,52.4,52.4,1.0,0.0,0.0,36.5,0.0,0.0,100.0
25454653,Shared Services,GSRV.SKL.PHN.EN,1,51.3,51.3,51.3,0.0,0.0,1.0,49.2,2623.0,0.0,100.0
26541524,Shared Services,Hanover.SKL.PHN.US.EN,1,51.0,51.0,51.0,0.0,0.0,1.0,70.6,0.0,1.0,100.0
27275123,Dedicated - MSC,MSC.SKL.PHN.US.EN.AS400,1,50.4,50.4,50.4,0.0,1.0,0.0,10.4,0.0,0.0,100.0
28585315,Shared Services,AEIConsultants.SKL.PHN.US.EN,1,48.1,48.1,48.1,1.0,0.0,0.0,60.2,0.0,0.0,100.0
24165398,Shared Services,GSRV.SKL.PHN.EN,1,47.6,47.6,47.6,1.0,0.0,0.0,81.8,0.0,0.0,0.0
25645142,Shared Services,TMG.SKL.PHN.EN,1,47.5,47.5,47.5,1.0,0.0,0.0,79.5,0.0,0.0,100.0
26565321,Shared Services,ADVENT.SKL.PHN.EN,1,46.3,46.3,46.3,0.0,1.0,0.0,13.0,0.0,0.0,0.0
25896478,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,45.3,45.3,45.3,0.0,1.0,0.0,51.7,0.0,0.0,100.0
22354114,Dedicated - MSC,MSC.SKL.PHN.US.EN.Password,1,44.9,44.9,44.9,0.0,0.0,1.0,48.5,0.0,0.0,100.0
28585315,Shared Services,AEG.SKL.PHN.US.EN,1,44.8,44.8,44.8,0.0,1.0,0.0,17.5,0.0,0.0,100.0
28585315,Shared Services,Tandigm.SKL.PHN.EN,2,44.2,48.4,39.9,2.0,0.0,0.0,60.9,44.0,0.0,100.0
28845136,Shared Services,Ambient.SKL.PHN.EN,1,44.0,44.0,44.0,1.0,0.0,0.0,55.3,0.0,0.0,100.0
22351462,Leveraged,Careforth.SKL.PHN.US.EN,1,39.7,39.7,39.7,0.0,0.0,1.0,10.3,0.0,0.0,100.0
28585315,Shared Services,TMG.SKL.PHN.EN,1,38.2,38.2,38.2,0.0,1.0,0.0,57.2,470.0,0.0,100.0
27471653,Dedicated - Douglas Elliman,DE.SKL.PHN.EN,1,37.6,37.6,37.6,0.0,0.0,1.0,32.7,0.0,0.0,100.0
26854713,Dedicated - CAT,CAT.PLD.SKL.PHN.US.En.PWRst,1,37.0,37.0,37.0,0.0,0.0,1.0,7.7,0.0,0.0,100.0
28787458,Tech Support,UI.SKL.PHN.ES,3,36.4,78.5,15.4,1.0,0.0,2.0,31.6,198.0,3.0,100.0
21352312,Dedicated - RCCL,RCCL.SKL.PHN.US.EN.Leveraged,1,34.7,34.7,34.7,1.0,0.0,0.0,26.3,0.0,0.0,100.0
25645142,Shared Services,Ambient.SKL.PHN.EN,1,28.2,28.2,28.2,0.0,0.0,1.0,47.5,0.0,0.0,100.0
23548679,Dedicated - RCCL,RCCL.SKL.PHN.US.EN.Leveraged,1,24.0,24.0,24.0,0.0,0.0,1.0,9.7,0.0,0.0,100.0
